CaseMasterID,CrimeNo,District,PoliceStationNo,CrimeRegisteredDate,Year,Month,Hour,TimeOfDay,CaseCategory,GravityOffence,CrimeHead,CrimeSubHead,CaseStatus,latitude,longitude
2747,100160004202202747,Udupi,4,2022-09-06,2022,9,4,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,13.27843,74.6987
2748,100220004202202748,Yadgir,4,2022-04-12,2022,4,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,16.73085,77.12336
2749,100240003202202749,Kodagu,3,2022-07-22,2022,7,23,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,12.41005,75.84148
2750,100220003202302750,Yadgir,3,2023-01-26,2023,1,10,Morning (6AM-12PM),FIR,Non-Heinous,Cyber Crime,Online Fraud,Charge Sheeted,16.77477,77.12651
2751,100030002202502751,Mysuru,2,2025-06-21,2025,6,21,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Undetected,12.37402,76.74743
2752,700030003202402752,Mysuru,3,2024-04-06,2024,4,17,Afternoon (12PM-6PM),Zero FIR,Heinous,Crimes Against Women,Dowry Harassment,Undetected,12.27216,76.59942
2753,100050004202302753,Belagavi,4,2023-06-21,2023,6,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,15.89447,74.54862
2754,700070003202202754,Hubballi-Dharwad,3,2022-07-21,2022,7,15,Afternoon (12PM-6PM),Zero FIR,Non-Heinous,Economic Offences,Forgery,Undetected,15.3406,75.02382
2755,100230004202202755,Chamarajanagar,4,2022-05-06,2022,5,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,12.00033,76.92283
2756,100210003202602756,Koppal,3,2026-08-05,2026,8,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Cyber Crime,Phishing,Undetected,15.4185,76.27497
2757,100150004202402757,Chikkamagaluru,4,2024-04-08,2024,4,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Forgery,Under Investigation,13.26588,75.74438
2758,100280003202402758,Haveri,3,2024-11-25,2024,11,9,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,14.81804,75.45605
2759,100090001202502759,Tumakuru,1,2025-05-17,2025,5,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,False Case,13.40022,77.07445
2760,100110003202402760,Davanagere,3,2024-10-27,2024,10,7,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Assault,False Case,14.45845,75.87139
2761,400090003202502761,Tumakuru,3,2025-09-25,2025,9,19,Evening (6PM-12AM),UDR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,13.3269,77.11296
2762,100020003202302762,Bengaluru Rural,3,2023-11-22,2023,11,23,Evening (6PM-12AM),PAR,Non-Heinous,Crimes Against Body,Murder,Under Investigation,13.31328,77.63922
2763,100300004202202763,Uttara Kannada,4,2022-09-22,2022,9,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,14.8379,74.73908
2764,400050004202302764,Belagavi,4,2023-05-19,2023,5,8,Morning (6AM-12PM),UDR,Non-Heinous,Cyber Crime,Cyberstalking,Under Investigation,15.85814,74.48712
2765,100010003202302765,Bengaluru City,3,2023-09-22,2023,9,8,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,12.9603,77.61909
2766,100280001202502766,Haveri,1,2025-10-13,2025,10,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Undetected,14.8138,75.39501
2767,100090002202202767,Tumakuru,2,2022-07-06,2022,7,17,Afternoon (12PM-6PM),FIR,Heinous,Narcotics,NDPS Trafficking,Charge Sheeted,13.18439,77.13175
2768,100080002202602768,Ballari,2,2026-12-07,2026,12,17,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,15.19811,76.95129
2769,100030003202302769,Mysuru,3,2023-02-18,2023,2,13,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Sexual Assault,Under Investigation,12.29756,76.57844
2770,100230003202502770,Chamarajanagar,3,2025-05-13,2025,5,0,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Online Fraud,Under Investigation,11.82757,76.94587
2771,700050004202302771,Belagavi,4,2023-11-10,2023,11,17,Afternoon (12PM-6PM),Zero FIR,Heinous,Crimes Against Body,Attempt to Murder,False Case,15.82585,74.49737
2772,100020002202602772,Bengaluru Rural,2,2026-03-23,2026,3,11,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Under Investigation,13.35732,77.44611
2773,100030003202202773,Mysuru,3,2022-11-05,2022,11,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,12.30326,76.74574
2774,700110002202602774,Davanagere,2,2026-02-25,2026,2,6,Morning (6AM-12PM),Zero FIR,Non-Heinous,Narcotics,NDPS Possession,Closed,14.53543,76.01692
2775,100110004202602775,Davanagere,4,2026-06-06,2026,6,10,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Sexual Assault,Closed,14.4847,75.97999
2776,100080004202602776,Ballari,4,2026-07-04,2026,7,21,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,15.09294,77.01293
2777,100090002202402777,Tumakuru,2,2024-09-01,2024,9,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,13.34122,77.03753
2778,100280003202602778,Haveri,3,2026-11-23,2026,11,4,Night (12AM-6AM),FIR,Heinous,Narcotics,NDPS Trafficking,Charge Sheeted,15.00895,75.37133
2779,100090004202302779,Tumakuru,4,2023-11-16,2023,11,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Burglary,False Case,13.38944,77.19266
2780,100250001202402780,Ramanagara,1,2024-06-01,2024,6,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Under Investigation,12.70921,77.37036
2781,700040003202202781,Mangaluru (Dakshina Kannada),3,2022-03-18,2022,3,18,Evening (6PM-12AM),Zero FIR,Non-Heinous,Crimes Against Body,Assault,Closed,12.83569,74.89733
2782,100050003202202782,Belagavi,3,2022-03-21,2022,3,7,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,15.87795,74.61769
2783,100240001202402783,Kodagu,1,2024-01-05,2024,1,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Charge Sheeted,12.37667,75.78137
2784,400290003202202784,Gadag,3,2022-02-26,2022,2,0,Night (12AM-6AM),UDR,Heinous,Crimes Against Body,Murder,Under Investigation,15.31861,75.62316
2785,100020004202602785,Bengaluru Rural,4,2026-08-23,2026,8,2,Night (12AM-6AM),FIR,Non-Heinous,Narcotics,NDPS Trafficking,Closed,13.28252,77.47129
2786,100010002202602786,Bengaluru City,2,2026-08-18,2026,8,18,Evening (6PM-12AM),FIR,Non-Heinous,Public Order,Rioting,Closed,13.06177,77.60278
2787,100040002202302787,Mangaluru (Dakshina Kannada),2,2023-01-07,2023,1,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Closed,12.91138,74.74995
2788,100240002202402788,Kodagu,2,2024-01-01,2024,1,11,Morning (6AM-12PM),FIR,Non-Heinous,Cyber Crime,Identity Theft,Charge Sheeted,12.4533,75.81108
2789,100030004202202789,Mysuru,4,2022-09-16,2022,9,12,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Undetected,12.23349,76.53899
2790,100090003202602790,Tumakuru,3,2026-01-15,2026,1,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,13.28429,77.21037
2791,100190002202202791,Hassan,2,2022-10-12,2022,10,3,Night (12AM-6AM),FIR,Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,12.99755,76.10054
2792,100020002202302792,Bengaluru Rural,2,2023-10-25,2023,10,23,Evening (6PM-12AM),FIR,Non-Heinous,Cyber Crime,Identity Theft,Under Investigation,13.3488,77.55965
2793,100190003202502793,Hassan,3,2025-01-12,2025,1,22,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,13.04572,75.96723
2794,100280002202302794,Haveri,2,2023-08-24,2023,8,18,Evening (6PM-12AM),FIR,Heinous,Crimes Against Body,Murder,Closed,14.78127,75.35551
2795,100020002202202795,Bengaluru Rural,2,2022-03-10,2022,3,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Undetected,13.27791,77.61447
2796,400010003202602796,Bengaluru City,3,2026-05-13,2026,5,8,Morning (6AM-12PM),UDR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,12.91627,77.61276
2797,100170003202402797,Kolar,3,2024-02-07,2024,2,4,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Under Investigation,13.12827,78.08032
2798,100160003202502798,Udupi,3,2025-04-22,2025,4,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Theft,Closed,13.30723,74.70033
2799,100050001202302799,Belagavi,1,2023-12-24,2023,12,7,Morning (6AM-12PM),FIR,Non-Heinous,Cyber Crime,Identity Theft,Charge Sheeted,15.88801,74.44155
2800,100190001202602800,Hassan,1,2026-03-10,2026,3,2,Night (12AM-6AM),FIR,Heinous,Narcotics,NDPS Trafficking,Charge Sheeted,12.95455,76.18377
2801,700140002202402801,Bidar,2,2024-03-24,2024,3,5,Night (12AM-6AM),Zero FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,18.00322,77.62748
2802,100230001202202802,Chamarajanagar,1,2022-05-24,2022,5,15,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,11.90689,76.94699
2803,100050003202302803,Belagavi,3,2023-12-26,2023,12,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,15.89749,74.52093
2804,100180001202602804,Mandya,1,2026-11-11,2026,11,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Under Investigation,12.49105,76.87894
2805,100220003202602805,Yadgir,3,2026-04-22,2026,4,1,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,16.97211,77.1431
2806,100050001202302806,Belagavi,1,2023-09-12,2023,9,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Closed,15.79878,74.50013
2807,100200001202502807,Chitradurga,1,2025-06-09,2025,6,19,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,14.21175,76.3129
2808,100170002202502808,Kolar,2,2025-03-25,2025,3,2,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,Closed,13.18368,78.20078
2809,100120004202202809,Vijayapura,4,2022-12-05,2022,12,6,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,16.83113,75.68392
2810,100050001202302810,Belagavi,1,2023-08-15,2023,8,8,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Dowry Harassment,Charge Sheeted,15.82447,74.42622
2811,100190001202502811,Hassan,1,2025-01-16,2025,1,2,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Burglary,False Case,12.96801,76.16083
2812,100190004202302812,Hassan,4,2023-10-14,2023,10,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,12.92527,76.06762
2813,100030004202602813,Mysuru,4,2026-04-15,2026,4,22,Evening (6PM-12AM),FIR,Non-Heinous,Economic Offences,Forgery,Charge Sheeted,12.30802,76.66282
2814,100300003202602814,Uttara Kannada,3,2026-03-16,2026,3,11,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Domestic Violence,Charge Sheeted,14.84094,74.62551
2815,100090002202502815,Tumakuru,2,2025-01-15,2025,1,0,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Identity Theft,Closed,13.23549,77.12693
2816,100050001202502816,Belagavi,1,2025-02-15,2025,2,4,Night (12AM-6AM),PAR,Non-Heinous,Crimes Against Property,Burglary,Closed,15.87542,74.50672
2817,100070001202402817,Hubballi-Dharwad,1,2024-01-12,2024,1,23,Evening (6PM-12AM),FIR,Heinous,Crimes Against Women,Dowry Harassment,Charge Sheeted,15.4804,75.07722
2818,100060003202402818,Kalaburagi,3,2024-11-15,2024,11,13,Afternoon (12PM-6PM),FIR,Heinous,Narcotics,NDPS Possession,Undetected,17.27004,76.98244
2819,100030001202402819,Mysuru,1,2024-03-07,2024,3,9,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Grievous Hurt,Closed,12.25618,76.70503
2820,700050001202402820,Belagavi,1,2024-04-08,2024,4,16,Afternoon (12PM-6PM),Zero FIR,Heinous,Crimes Against Body,Assault,False Case,15.92071,74.5665
2821,100110001202502821,Davanagere,1,2025-12-20,2025,12,23,Evening (6PM-12AM),FIR,Heinous,Crimes Against Body,Grievous Hurt,Undetected,14.46326,75.93
2822,100210003202302822,Koppal,3,2023-11-24,2023,11,10,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Attempt to Murder,Closed,15.4007,76.11932
2823,100050001202602823,Belagavi,1,2026-06-04,2026,6,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Dowry Harassment,Under Investigation,15.89361,74.45737
2824,100190003202402824,Hassan,3,2024-02-15,2024,2,23,Evening (6PM-12AM),FIR,Heinous,Crimes Against Women,Domestic Violence,Undetected,12.87818,76.15023
2825,100170002202502825,Kolar,2,2025-02-08,2025,2,8,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Criminal Breach of Trust,Charge Sheeted,13.14299,78.15591
2826,100080003202602826,Ballari,3,2026-12-03,2026,12,18,Evening (6PM-12AM),PAR,Non-Heinous,Crimes Against Property,Dacoity,False Case,15.19362,76.92206
2827,700150002202602827,Chikkamagaluru,2,2026-07-12,2026,7,1,Night (12AM-6AM),Zero FIR,Non-Heinous,Crimes Against Women,Molestation,Charge Sheeted,13.38271,75.84178
2828,100020001202602828,Bengaluru Rural,1,2026-04-13,2026,4,10,Morning (6AM-12PM),FIR,Non-Heinous,Cyber Crime,Identity Theft,False Case,13.29668,77.49632
2829,100240002202602829,Kodagu,2,2026-07-26,2026,7,3,Night (12AM-6AM),PAR,Non-Heinous,Crimes Against Property,Robbery,Closed,12.28543,75.78938
2830,700240001202602830,Kodagu,1,2026-01-23,2026,1,4,Night (12AM-6AM),Zero FIR,Non-Heinous,Cyber Crime,Identity Theft,False Case,12.25826,75.83401
2831,100190001202302831,Hassan,1,2023-12-16,2023,12,21,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Theft,Under Investigation,13.00721,76.17604
2832,100010001202402832,Bengaluru City,1,2024-10-12,2024,10,20,Evening (6PM-12AM),FIR,Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,12.97751,77.68438
2833,100290002202602833,Gadag,2,2026-12-10,2026,12,8,Morning (6AM-12PM),FIR,Non-Heinous,Narcotics,NDPS Trafficking,False Case,15.37767,75.58464
2834,100010004202502834,Bengaluru City,4,2025-12-21,2025,12,15,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,12.96675,77.52407
2835,100050004202602835,Belagavi,4,2026-07-06,2026,7,3,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,15.86437,74.56528
2836,100050001202502836,Belagavi,1,2025-09-01,2025,9,15,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Molestation,Under Investigation,15.95697,74.55592
2837,100190002202402837,Hassan,2,2024-04-18,2024,4,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Women,Molestation,False Case,12.92307,76.18614
2838,700010002202502838,Bengaluru City,2,2025-04-10,2025,4,23,Evening (6PM-12AM),Zero FIR,Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,12.90427,77.55626
2839,100050003202402839,Belagavi,3,2024-06-14,2024,6,18,Evening (6PM-12AM),FIR,Non-Heinous,Cyber Crime,Online Fraud,Charge Sheeted,15.82717,74.4697
2840,100010002202302840,Bengaluru City,2,2023-11-19,2023,11,14,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Dowry Harassment,Charge Sheeted,12.93513,77.54521
2841,100040002202402841,Mangaluru (Dakshina Kannada),2,2024-06-22,2024,6,19,Evening (6PM-12AM),FIR,Non-Heinous,Cyber Crime,Identity Theft,Closed,12.86484,74.8512
2842,100130003202302842,Raichur,3,2023-09-15,2023,9,11,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,16.17497,77.34857
2843,100030002202602843,Mysuru,2,2026-01-15,2026,1,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Murder,Under Investigation,12.24011,76.60007
2844,100020003202302844,Bengaluru Rural,3,2023-10-03,2023,10,1,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Forgery,Charge Sheeted,13.27724,77.54681
2845,100230002202502845,Chamarajanagar,2,2025-08-06,2025,8,20,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,11.90638,76.86018
2846,400240001202602846,Kodagu,1,2026-12-11,2026,12,16,Afternoon (12PM-6PM),UDR,Non-Heinous,Crimes Against Women,Sexual Assault,False Case,12.29283,75.80264
2847,100020003202502847,Bengaluru Rural,3,2025-04-26,2025,4,22,Evening (6PM-12AM),FIR,Non-Heinous,Cyber Crime,Online Fraud,Under Investigation,13.30284,77.58874
2848,100160002202502848,Udupi,2,2025-07-15,2025,7,3,Night (12AM-6AM),FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,13.25437,74.75382
2849,100130001202302849,Raichur,1,2023-02-08,2023,2,3,Night (12AM-6AM),FIR,Heinous,Narcotics,NDPS Possession,Charge Sheeted,16.2979,77.24323
2850,700190001202502850,Hassan,1,2025-05-24,2025,5,22,Evening (6PM-12AM),Zero FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,13.06898,76.12477
2851,100170003202602851,Kolar,3,2026-08-01,2026,8,11,Morning (6AM-12PM),FIR,Non-Heinous,Public Order,Rioting,Under Investigation,13.29456,78.11769
2852,100230002202202852,Chamarajanagar,2,2022-06-22,2022,6,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Burglary,Closed,11.97903,76.93406
2853,100130001202402853,Raichur,1,2024-05-16,2024,5,16,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,16.14749,77.299
2854,100020001202302854,Bengaluru Rural,1,2023-04-19,2023,4,21,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Property,Theft,Charge Sheeted,13.19139,77.59289
2855,100010002202402855,Bengaluru City,2,2024-01-24,2024,1,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Closed,12.98058,77.52718
2856,100060004202502856,Kalaburagi,4,2025-08-14,2025,8,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Burglary,Under Investigation,17.29872,76.93043
2857,100030004202602857,Mysuru,4,2026-07-20,2026,7,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Economic Offences,Forgery,False Case,12.29043,76.58162
2858,700190004202402858,Hassan,4,2024-05-24,2024,5,11,Morning (6AM-12PM),Zero FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,12.97408,76.13881
2859,100280003202502859,Haveri,3,2025-05-23,2025,5,20,Evening (6PM-12AM),FIR,Non-Heinous,Cyber Crime,Cyberstalking,Charge Sheeted,14.75184,75.39598
2860,400070004202402860,Hubballi-Dharwad,4,2024-06-17,2024,6,15,Afternoon (12PM-6PM),UDR,Heinous,Crimes Against Body,Assault,Under Investigation,15.47398,75.12443
2861,100060004202302861,Kalaburagi,4,2023-10-14,2023,10,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,17.17715,76.92262
2862,100050001202402862,Belagavi,1,2024-05-11,2024,5,10,Morning (6AM-12PM),FIR,Heinous,Narcotics,NDPS Possession,Closed,15.83818,74.45244
2863,100140003202202863,Bidar,3,2022-05-05,2022,5,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,17.98492,77.45106
2864,100230002202202864,Chamarajanagar,2,2022-11-19,2022,11,6,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Under Investigation,11.93047,77.00403
2865,100070001202602865,Hubballi-Dharwad,1,2026-12-12,2026,12,14,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,15.46486,75.17754
2866,100210002202602866,Koppal,2,2026-07-17,2026,7,6,Morning (6AM-12PM),PAR,Non-Heinous,Crimes Against Women,Sexual Assault,Under Investigation,15.39141,76.08422
2867,700160003202202867,Udupi,3,2022-09-13,2022,9,5,Night (12AM-6AM),Zero FIR,Non-Heinous,Crimes Against Body,Assault,Charge Sheeted,13.27276,74.79772
2868,100250004202602868,Ramanagara,4,2026-11-19,2026,11,8,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,12.6696,77.20587
2869,100250002202302869,Ramanagara,2,2023-07-07,2023,7,11,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Body,Grievous Hurt,Charge Sheeted,12.68772,77.23063
2870,100120004202602870,Vijayapura,4,2026-12-16,2026,12,11,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,16.89262,75.7199
2871,100240001202302871,Kodagu,1,2023-03-02,2023,3,0,Night (12AM-6AM),FIR,Non-Heinous,Cyber Crime,Online Fraud,Under Investigation,12.30196,75.81277
2872,700220002202202872,Yadgir,2,2022-03-21,2022,3,14,Afternoon (12PM-6PM),Zero FIR,Non-Heinous,Crimes Against Property,Dacoity,Closed,16.74541,77.16371
2873,100020002202602873,Bengaluru Rural,2,2026-06-10,2026,6,10,Morning (6AM-12PM),FIR,Non-Heinous,Economic Offences,Cheating,Under Investigation,13.33115,77.54595
2874,100050003202302874,Belagavi,3,2023-08-12,2023,8,19,Evening (6PM-12AM),FIR,Non-Heinous,Cyber Crime,Identity Theft,False Case,15.86092,74.53059
2875,100160003202402875,Udupi,3,2024-10-14,2024,10,22,Evening (6PM-12AM),PAR,Non-Heinous,Cyber Crime,Online Fraud,Closed,13.20207,74.89796
2876,100180001202502876,Mandya,1,2025-03-23,2025,3,4,Night (12AM-6AM),PAR,Non-Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,12.53605,76.91609
2877,100010004202302877,Bengaluru City,4,2023-04-22,2023,4,12,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Body,Murder,False Case,13.02966,77.68562
2878,100050002202602878,Belagavi,2,2026-03-01,2026,3,8,Morning (6AM-12PM),FIR,Non-Heinous,Narcotics,NDPS Possession,Under Investigation,15.80006,74.51022
2879,100250001202302879,Ramanagara,1,2023-07-15,2023,7,11,Morning (6AM-12PM),FIR,Non-Heinous,Cyber Crime,Phishing,Closed,12.74015,77.33682
2880,100020004202302880,Bengaluru Rural,4,2023-01-18,2023,1,13,Afternoon (12PM-6PM),FIR,Non-Heinous,Cyber Crime,Cyberstalking,Charge Sheeted,13.33471,77.38428
2881,100080001202402881,Ballari,1,2024-05-01,2024,5,16,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Closed,15.08979,76.90103
2882,100050003202602882,Belagavi,3,2026-04-17,2026,4,6,Morning (6AM-12PM),FIR,Heinous,Crimes Against Body,Assault,Closed,15.82613,74.45763
2883,100230003202502883,Chamarajanagar,3,2025-05-08,2025,5,2,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Body,Attempt to Murder,Charge Sheeted,12.02639,76.86149
2884,100050002202302884,Belagavi,2,2023-08-22,2023,8,11,Morning (6AM-12PM),FIR,Non-Heinous,Cyber Crime,Online Fraud,Under Investigation,15.94959,74.46903
2885,100170001202602885,Kolar,1,2026-03-05,2026,3,10,Morning (6AM-12PM),FIR,Heinous,Crimes Against Women,Sexual Assault,Charge Sheeted,13.11171,78.05616
2886,100020003202502886,Bengaluru Rural,3,2025-01-09,2025,1,13,Afternoon (12PM-6PM),PAR,Non-Heinous,Crimes Against Body,Grievous Hurt,Under Investigation,13.21337,77.58234
2887,100090002202302887,Tumakuru,2,2023-10-05,2023,10,22,Evening (6PM-12AM),FIR,Non-Heinous,Public Order,Rioting,Under Investigation,13.36179,77.20577
2888,100190003202302888,Hassan,3,2023-09-07,2023,9,0,Night (12AM-6AM),PAR,Non-Heinous,Cyber Crime,Identity Theft,Charge Sheeted,13.05531,76.06169
2889,100050001202302889,Belagavi,1,2023-09-23,2023,9,3,Night (12AM-6AM),PAR,Non-Heinous,Crimes Against Property,Burglary,Charge Sheeted,15.795,74.49794
2890,100140002202502890,Bidar,2,2025-02-24,2025,2,14,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Molestation,Charge Sheeted,17.91165,77.44488
2891,100090003202402891,Tumakuru,3,2024-04-23,2024,4,10,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Women,Molestation,False Case,13.32564,77.13706
2892,100040003202602892,Mangaluru (Dakshina Kannada),3,2026-06-03,2026,6,22,Evening (6PM-12AM),PAR,Non-Heinous,Crimes Against Women,Dowry Harassment,Closed,12.82701,74.83473
2893,100080004202402893,Ballari,4,2024-08-14,2024,8,23,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Body,Assault,Closed,15.17706,76.91962
2894,100060002202402894,Kalaburagi,2,2024-11-14,2024,11,6,Morning (6AM-12PM),FIR,Non-Heinous,Crimes Against Property,Robbery,Closed,17.28529,76.83451
2895,100220001202602895,Yadgir,1,2026-10-16,2026,10,23,Evening (6PM-12AM),FIR,Non-Heinous,Crimes Against Body,Murder,Charge Sheeted,16.6927,77.12117
2896,100160003202302896,Udupi,3,2023-08-19,2023,8,4,Night (12AM-6AM),FIR,Heinous,Narcotics,NDPS Trafficking,Under Investigation,13.3241,74.67793
2897,100010002202202897,Bengaluru City,2,2022-05-25,2022,5,15,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Under Investigation,12.94818,77.55412
2898,100040002202602898,Mangaluru (Dakshina Kannada),2,2026-05-24,2026,5,16,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Sexual Assault,False Case,13.0529,74.89929
2899,100190001202502899,Hassan,1,2025-11-27,2025,11,12,Afternoon (12PM-6PM),FIR,Heinous,Crimes Against Women,Domestic Violence,Closed,12.94361,76.13016
2900,100030002202202900,Mysuru,2,2022-01-18,2022,1,17,Afternoon (12PM-6PM),FIR,Non-Heinous,Crimes Against Property,Dacoity,Charge Sheeted,12.34349,76.63716
2901,100040001202602901,Mangaluru (Dakshina Kannada),1,2026-06-05,2026,6,0,Night (12AM-6AM),FIR,Non-Heinous,Crimes Against Women,Domestic Violence,Under Investigation,12.91217,74.81864
2902,700200003202602902,Chitradurga,3,2026-05-25,2026,5,10,Morning (6AM-12PM),Zero FIR,Non-Heinous,Economic Offences,Cheating,Charge Sheeted,14.26844,76.45668
